model,site,nb_deg,nb_pm,component,ttf,ctf
M4,E,0,0,C01,5265060.0,15855
M4,E,0,1,C02,57366300.0,126491
M4,I,0,0,C01,3864540.0,5538
M4,E,0,1,C01,10715167.0,29634
M3,E,0,0,C02,15832226.0,46117
M4,E,0,1,C01,17090760.0,23334
M4,E,0,2,C01,42836940.0,171546
M2,S,0,0,C01,26436120.0,45499
M4,S,0,0,C01,13113611.0,19488
M2,S,0,0,C01,12024480.0,28296
M4,H,10,2,C01,57643223.0,76993
M4,I,0,0,C02,3207480.0,7998
M3,H,0,0,C01,8887260.0,26882
M4,S,0,1,C01,25411440.0,46787
M7,E,0,0,C02,6678600.0,12631
M4,S,0,1,C02,46633980.0,86974
M2,E,0,0,C01,9096000.0,11497
M4,E,7,0,C01,5103300.0,15733
M4,E,0,1,C01,10791660.0,44806
M1,S,0,0,C02,2155740.0,5946
M3,E,0,0,C01,15221868.0,34470
M3,S,0,1,C01,49769698.0,87830
M3,E,0,1,C01,36991980.0,112490
M4,S,0,1,C02,29817060.0,38333
M7,S,0,2,C01,52683589.0,92925
M4,I,0,0,C01,38894640.0,96073
M3,S,0,0,C01,12889140.0,56493
M2,S,0,1,C01,25327500.0,22839
M4,E,1,0,C01,20556960.0,52308
M3,S,0,0,C01,8291700.0,22275
M4,I,0,0,C01,9079965.0,21169
M2,E,0,0,C01,11061181.0,45497
M4,I,0,0,C01,4841220.0,5144
M3,E,0,1,C01,63417180.0,195873
M3,S,0,1,C02,23336340.0,34586
M2,S,0,0,C01,8980560.0,27464
M4,E,0,1,C01,5986860.0,11836
M3,E,0,2,C01,61075410.0,120494
M2,S,0,0,C01,15719460.0,34290
M4,I,0,0,C02,8814042.0,9780
M7,S,0,1,C01,32585220.0,107563
M3,S,0,1,C01,6293640.0,8962
M4,H,0,0,C01,11047980.0,16415
M7,E,0,0,C01,10632840.0,35394
M4,I,0,1,C01,5092853.0,12999
M3,S,0,1,C01,21148320.0,40562
M4,E,0,1,C01,26264800.0,29977
M3,S,0,0,C01,6992940.0,34785
M2,S,0,1,C01,61776701.0,89117
M4,I,0,1,C01,29796240.0,13191
M4,E,0,1,C01,24866880.0,85416
M3,E,0,2,C01,51584820.0,105651
M2,E,0,0,C01,13363300.0,20127
M3,E,0,0,C01,3691980.0,11251
M3,S,0,0,C01,1712040.0,5734
M4,I,0,1,C01,53640180.0,82576
M3,S,0,1,C01,35140320.0,46235
M2,E,2,0,C01,19689827.0,24635
M4,E,2,1,C01,38722560.0,50723
M4,S,0,1,C01,20465940.0,54212
M4,E,0,2,C01,65742360.0,180666
M3,S,0,0,C02,40756020.0,102039
M3,H,0,1,C01,10366380.0,16492
M2,E,0,0,C01,6653340.0,16626
M3,E,0,0,C01,4396260.0,9316
M4,E,0,1,C01,18817680.0,41731
M7,E,0,0,C01,27808429.0,72250
M4,S,0,1,C01,4603080.0,7278
M4,E,0,0,C01,7935537.0,5998
M4,S,0,0,C01,8143260.0,23584
M4,E,0,1,C02,28078860.0,62778
M4,E,0,0,C01,9167327.0,20599
M3,S,0,0,C02,6664200.0,13140
M3,E,0,0,C01,3530640.0,10279
M7,S,0,0,C02,15378540.0,31878
M3,E,8,2,C01,40955700.0,109968
M4,S,0,0,C02,14496480.0,28023
M4,E,0,0,C01,9850920.0,21517
M3,S,0,2,C01,81043080.0,166457
M4,E,0,0,C01,1815420.0,5966
M4,E,0,1,C01,48798284.0,112797
M2,E,0,0,C02,15962400.0,42646
M7,E,0,0,C01,20025664.0,49085
M2,S,0,0,C02,11145240.0,24172
M3,S,0,1,C01,14858521.0,29350
M4,S,0,1,C01,16571811.0,88515
M4,E,0,0,C01,24361740.0,44126
M3,E,0,1,C01,6297998.0,9947
M4,S,0,0,C01,8123280.0,17855
M1,E,0,0,C01,9181227.0,14118
M3,E,0,0,C01,22293900.0,36082
M4,S,0,2,C01,69964680.0,174751
M4,I,0,0,C01,52099642.0,91295
M7,E,0,1,C01,47493720.0,163631
M2,E,0,0,C01,32394472.0,86177
M7,E,2,1,C01,28408740.0,110318
M3,I,0,0,C01,27114418.0,22770
M3,E,0,0,C01,3626464.0,8524
M4,S,0,0,C02,1723920.0,9711
M1,E,0,0,C01,1975380.0,6803
M7,E,0,0,C01,7183459.0,17730
M4,E,0,0,C01,9086160.0,22283
M3,E,0,1,C01,34487580.0,107177
M4,E,0,0,C02,3641617.0,8796
M3,E,0,1,C01,8992200.0,16292
M3,S,0,0,C01,3259699.0,7607
M4,E,0,0,C01,16829160.0,27159
M3,S,0,0,C01,33101160.0,37659
M3,S,0,0,C01,4668296.0,16229
M4,S,0,0,C01,7421659.0,25121
M7,S,0,2,C01,37129560.0,77077
M4,S,2,1,C01,19074906.0,52288
M1,E,0,0,C01,52808700.0,127867
M7,I,0,0,C01,18137684.0,39868
M4,S,0,0,C01,12037500.0,10914
M3,E,0,1,C01,21764820.0,67031
M4,I,0,1,C01,42441300.0,93513
M4,S,1,2,C02,35348400.0,104121
M5,S,0,2,C02,63593926.0,27287
M2,I,0,2,C01,62026680.0,19722
M2,S,0,0,C01,10446660.0,13275
M3,S,0,0,C01,18770760.0,54182
M3,S,0,1,C01,8385060.0,27030
M4,S,1,0,C02,26257980.0,79484
M4,S,0,2,C01,53302556.0,23356
M5,S,0,0,C02,19287720.0,15822
M3,S,0,0,C01,5440500.0,11534
M4,S,0,1,C01,9253920.0,21604
M1,E,13,2,C01,23504700.0,50995
M4,E,0,0,C02,6204720.0,11123
M7,S,0,0,C01,15629835.0,36433
M4,S,0,2,C01,43216500.0,75649
M3,S,0,1,C01,3900660.0,7113
M7,S,0,0,C02,7429920.0,11301
M3,S,3,0,C01,27564552.0,18944
M3,S,0,0,C01,7752600.0,38915
M4,E,0,1,C01,35056980.0,86881
M2,S,0,1,C01,11239559.0,17452
M3,E,0,1,C02,8191920.0,17134
M2,E,0,0,C01,2951547.0,5820
M4,I,0,2,C01,90348348.0,203847
M7,S,0,1,C01,6290324.0,17801
M3,E,0,1,C01,70942920.0,197774
M7,E,0,0,C02,32054640.0,111696
M4,S,0,1,C01,40002799.0,117269
M4,I,2,1,C01,35259240.0,98789
M4,E,0,1,C01,37767960.0,134724
M3,S,0,1,C01,29114434.0,96384
M4,H,0,1,C01,12947495.0,5014
M7,I,0,0,C01,29219727.0,26115
M1,E,0,0,C01,8729220.0,23552
M3,E,0,0,C02,14425124.0,24403
M7,S,0,1,C01,8921156.0,22162
M4,E,0,1,C01,15137268.0,13315
M4,E,0,0,C01,10539180.0,47227
M3,H,0,0,C02,35071003.0,49901
M4,E,0,0,C01,6307740.0,9697
M4,S,2,1,C01,24117814.0,48980
M4,S,0,0,C01,24967980.0,90610
M4,E,0,1,C01,22186002.0,61748
M4,S,0,0,C01,4754290.0,15950
M4,S,0,1,C01,25119023.0,68796
M3,I,0,1,C02,71957328.0,72046
M3,S,0,0,C01,6382860.0,16916
M3,S,0,0,C01,6556925.0,12954
M4,S,0,1,C01,12085504.0,23489
M7,S,0,0,C01,15049560.0,15830
M3,S,0,1,C02,50088072.0,135475
M2,E,0,1,C01,9056520.0,22348
M7,S,0,1,C01,14592600.0,18312
M2,E,0,1,C02,35949358.0,94754
M2,E,0,0,C02,30784604.0,121347
M7,H,4,0,C01,8811540.0,12484
M3,S,1,0,C01,25244940.0,59048
M4,E,0,0,C01,5523719.0,11440
M4,S,9,0,C01,16069440.0,60914
M2,S,6,0,C02,41202300.0,58532
M4,E,0,0,C01,7081077.0,12535
M3,S,0,0,C01,28697220.0,56422
M7,H,0,0,C01,25041600.0,10703
M3,S,0,0,C01,5439960.0,14217
M4,E,0,0,C01,6636960.0,12611
M4,E,6,2,C01,26942760.0,60092
M2,S,0,0,C01,14359703.0,42500
M4,S,0,0,C01,9311100.0,14898
M5,S,0,1,C02,34202760.0,29925
M3,S,0,0,C01,5372264.0,10347
M4,S,0,2,C01,53823000.0,77645
M3,E,0,0,C01,6201180.0,10783
M4,I,0,0,C01,9401713.0,13525
M3,I,0,0,C01,3708060.0,5055
M3,E,0,0,C01,2072496.0,5611
M7,E,3,1,C01,9510948.0,32843
M3,S,5,0,C01,8921400.0,15938
M3,I,0,0,C01,15982267.0,21802
M2,S,2,0,C02,38102460.0,114424
M4,S,0,0,C01,11733240.0,29033
M4,S,0,0,C02,3007680.0,11392
M3,S,0,0,C01,8921781.0,15263
M2,S,0,0,C01,14964360.0,15042
M3,S,0,0,C01,45365100.0,125497
M3,S,0,1,C01,9425809.0,44957
M3,S,0,0,C01,16675380.0,60147
M3,E,0,0,C01,13300958.0,31705
M2,I,0,2,C02,59336400.0,158590
M3,S,0,0,C01,7519980.0,23082
M3,S,1,1,C01,40712216.0,98151
M3,E,0,0,C01,10095540.0,18984
M4,E,0,2,C01,84414049.0,137204
M4,E,4,0,C01,43473862.0,50502
M3,E,0,0,C01,34985460.0,102168
M2,S,0,2,C02,46733007.0,33545
